species,file,n,aba_obs,aba_z,aba_p,tail_obs,tail_z,tail_p,bound_rho,bound_z,bound_p,clade,learning_category
Balaena_mysticetus,1788559141223_Fram2012-58.mp3,47,,-0.2263259368487182,0.6196901549225388,,1.524170813632551,0.0934532733633183,,1.3180130444499438,0.095952023988006,cetacean,production_learner_candidate
Balaena_mysticetus,1788559141223_Fram2013-50.mp3,59,,2.5065401099293827,0.0129935032483758,,2.471030428506586,0.0184907546226886,,-0.2814927235003827,0.6101949025487257,cetacean,production_learner_candidate
Balaena_mysticetus,1788559141224_Fram2012-11.mp3,34,,0.8379576189510747,0.2693653173413293,,3.8457659478866586,0.0004997501249375,,-0.6257966520029246,0.7336331834082959,cetacean,production_learner_candidate
Balaena_mysticetus,1788559141224_Fram2012-46.mp3,39,,-1.8226816084728057,0.9880059970014992,,1.4480715187458006,0.1124437781109445,,-0.4394642778824361,0.6621689155422289,cetacean,production_learner_candidate
Balaena_mysticetus,1788559141224_Fram2012-47.mp3,30,,1.3803834042660643,0.1244377811094452,,1.307796821265038,0.1369315342328835,,1.8139659378394315,0.0334832583708145,cetacean,production_learner_candidate
Balaena_mysticetus,1788559141224_Fram2012-53.mp3,37,,0.407246747562331,0.3933033483258371,,0.2686632253647597,0.4457771114442778,,-2.683703807529598,0.999000499750125,cetacean,production_learner_candidate
Balaena_mysticetus,1788559141224_Fram2012-54.mp3,37,,-1.01700179454939,0.8915542228885557,,1.166087358251172,0.1604197901049475,,1.3372372692760897,0.0944527736131934,cetacean,production_learner_candidate
Balaena_mysticetus,1788559141224_Fram2012-65.mp3,39,,-0.6038501671006271,0.7916041979010495,,5.0158068326681,0.0004997501249375,,-1.8686809254601595,0.968015992003998,cetacean,production_learner_candidate
Balaena_mysticetus,1788559141224_Fram2012-69.mp3,38,,0.7327740375869171,0.2898550724637681,,-0.1470031991379092,0.6101949025487257,,-0.6443643684362359,0.7351324337831084,cetacean,production_learner_candidate
Balaena_mysticetus,1788559141224_Fram2013-1.mp3,44,,-1.128382489451026,0.9065467266366816,,3.7902038101802025,0.0014992503748125,,-0.7241741834842217,0.750624687656172,cetacean,production_learner_candidate
Balaena_mysticetus,1788559141224_Fram2013-5.mp3,35,,-0.8910687633324433,0.8660669665167416,,3.037539688202944,0.0064967516241879,,-2.344975451591973,0.991504247876062,cetacean,production_learner_candidate
Balaena_mysticetus,1788559141225_Fram2013-9.mp3,50,,0.1230192231652495,0.4972513743128435,,1.600278635581271,0.0794602698650674,,-0.8564684321716692,0.800599700149925,cetacean,production_learner_candidate
Megaptera_novaeangliae,20110521-000055_AWI227-11_SV0002.txt,549,,-2.194460358792204,0.992503748125937,,11.631744803843777,0.0004997501249375,,0.0784348898611039,0.4772613693153423,cetacean,production_learner_candidate
Megaptera_novaeangliae,20130617-000324_AWI227-12_SV1025.txt,233,,-3.1908056824606725,1.0,,14.962372131092812,0.0004997501249375,,0.3565036186962038,0.3748125937031484,cetacean,production_learner_candidate
Megaptera_novaeangliae,20170501-000458_AWI227-14_SV1004.txt,288,,-4.796985832723862,1.0,,28.954115457061,0.0004997501249375,,-0.1494806057105956,0.5547226386806596,cetacean,production_learner_candidate
Megaptera_novaeangliae,20170624-000545_AWI227-14_SV1004.txt,267,,-4.732623965951343,1.0,,24.148698019510828,0.0004997501249375,,-0.5285232643648012,0.7016491754122939,cetacean,production_learner_candidate
Megaptera_novaeangliae,20180512-000840_AWI227-14_SV1004.txt,233,,1.5346723135208955,0.0839580209895052,,2.827678824098518,0.0089955022488755,,3.302513075766003,0.0004997501249375,cetacean,production_learner_candidate
Megaptera_novaeangliae,20180622-000337_AWI227-14_SV1004.txt,293,,2.65046768511004,0.0109945027486256,,22.554969803680084,0.0004997501249375,,1.6105806407599432,0.0514742628685657,cetacean,production_learner_candidate
Megaptera_novaeangliae,20180701-000753_AWI227-14_SV1004.txt,336,,3.213379489220475,0.0019990004997501,,14.815806698582424,0.0004997501249375,,0.8932130536099516,0.1884057971014492,cetacean,production_learner_candidate
Eulemur_rubriventer,XC1072255_-_Red-bellied_Lemur_-_Eulemur_rubriventer.wav,39,,-0.5641089998705203,0.7636181909045477,,0.928638863109035,0.2138930534732633,,0.0141893478947349,0.5002498750624688,primate,usage_learner
Eulemur_rubriventer,XC983966_-_Red-bellied_Lemur_-_Eulemur_rubriventer.wav,19,,-2.277214600338481,1.0,,0.7297589692240555,0.3788105947026486,,,0.6761619190404797,primate,usage_learner
